	KILL	EAT	CUT	BREAK	WASH	FRIGHTEN	HIT	BEAT	SEE	GRIND	HUG	COOK	KNOW	TOUCH	SMELL	SEARCH_FOR	PEEL	LIKE	HEAR	FOLLOW	DIG	HELP	COVER	BUILD	SHAVE	FILL	LOOK_AT	MEET	FEAR	LEAVE	DRESS	CLIMB	THINK	SHOUT_AT	GO	SIT_DOWN	SIT	LIVE
L28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	NA	NA	0
L21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	1	1	0	0	0
L35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0
L5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	0	0	0	0
L36	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	0	1	1	0	0	0	0
L30	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	0	1	1	NA	NA	0	NA
L27	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	NA	1	1	1	1
L15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	0	1	0	0	0	0
L34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	0	1	0	0	0	NA	0	0
L33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	0	1	0	1	0	0	0	0	0
L32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	NA	1	1	1	1	NA	0	0	0	0
L16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	0	0	0
L7	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	0	NA	1	1	1	0	NA	0	0
L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	0	1	1	1	1	0	1	1	0	0	0	0
L26	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	NA	1	NA	0	1	1	NA	0	NA	NA
L25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	NA	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0
L13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	NA	NA	0	0	0
L4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	NA	1	1	1	0	NA	1	1	1	0	0	0	0
L2	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0
L23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	0	1	0	0	1	0	0	0	0
L22	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	NA	0	0	NA	0	0	0	0
L11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	NA	1	1	1	NA	1	1	1	1	1	0	0	1	0	NA	0	0
L17	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	NA	0	0	1	0	NA	NA	0
L12	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	NA	1	1	1	1	0	1	1	NA	1	0	1	0	0	NA	0
L8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	NA	1	1	0	1	1	1	1	0	0	0	0	NA	0	0
L18	1	1	1	1	1	1	1	1	0	1	1	1	1	1	NA	1	1	1	1	NA	1	1	NA	1	1	NA	1	0	1	1	NA	1	1	NA	0	0	0	NA
L10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	0	1	NA	1	1	1	1	0	0	1	0	0	0	0	0	0	0
L9	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	0	1	0	0	1	1	1	0	NA	0	0	0
L20	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	1	1	0	0	1	1	1	NA	1	1	0	1	1	0	0	1	1	1	NA	0	0	0	0
L24	1	1	1	1	1	1	1	1	0	1	1	NA	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	0	1	0	NA	0	NA	0	0	0	0	0
L29	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	0	1	0	1	0	1	NA	1	1	0	1	1	0	NA	0	0	0	0	0	0	0
L19	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	NA	1	1	0	NA	0	0	1	1	0	0	0	0	0	0
L31	1	1	1	1	1	1	1	1	1	1	1	1	0	NA	NA	1	1	0	0	0	1	0	1	1	NA	1	0	0	0	0	1	0	1	0	0	0	0	NA
L6	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	0	1	0	1	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0
L14	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	NA	0	0	1	0	0	NA	NA	1	NA	0	1	0	1	NA	1	0	0	0	0	0	0
L3	1	1	1	1	1	1	NA	NA	0	1	0	1	0	NA	NA	1	NA	0	0	0	1	0	NA	NA	1	1	0	1	0	0	NA	NA	0	0	0	NA	NA	0
