	SHOUT_AT	LOOK_AT	FOLLOW	HELP	GO	FEAR	THINK	SEARCH_FOR	LIKE	CLIMB	SIT_DOWN	LIVE	LEAVE	HUG	HEAR	EAT	SIT	MEET	KNOW	WASH	TOUCH	SMELL	SHAVE	DRESS	SEE	PEEL	KILL	HIT	GRIND	FRIGHTEN	FILL	DIG	CUT	COVER	COOK	BUILD	BREAK	BEAT
L31	1	0	1	1	1	1	0	0	1	1	0	NA	1	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L12	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	NA	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
L24	1	0	1	1	1	0	NA	0	0	0	1	1	0	0	0	0	1	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0
L19	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
L14	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	NA	0	NA	0	0
L3	1	1	1	1	0	1	0	0	0	NA	NA	0	0	1	0	0	NA	0	0	0	NA	NA	0	NA	0	NA	0	NA	0	0	0	0	0	NA	0	NA	0	NA
L29	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0
L25	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L22	NA	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L10	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0
L6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	NA	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0
L17	0	0	0	0	0	1	1	1	0	0	NA	0	0	0	0	0	NA	0	1	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0
L34	1	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0
L33	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L28	0	0	0	0	0	1	0	0	0	1	NA	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L8	1	1	0	0	0	0	0	NA	0	0	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0
L26	1	0	0	1	NA	NA	0	0	0	0	0	NA	0	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L11	0	0	1	NA	0	0	0	0	0	0	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0
