	SIT	LIVE	SIT_DOWN	GO	LEAVE	CLIMB	THINK	FEAR	MEET	SMELL	LIKE	DIG	SHOUT_AT	SHAVE	SEARCH_FOR	HEAR	FOLLOW	FILL	EAT	WASH	TOUCH	SEE	PEEL	LOOK_AT	KNOW	KILL	HUG	HIT	HELP	GRIND	FRIGHTEN	DRESS	CUT	COVER	COOK	BUILD	BREAK	BEAT
L14	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0
L6	1	1	1	1	1	1	1	1	0	1	0	0	1	NA	0	0	0	NA	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
L29	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0
L23	1	1	1	1	1	1	1	0	NA	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L22	1	1	1	1	1	1	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L20	1	1	1	1	1	1	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	NA	0	0	0
L19	1	1	1	1	1	0	0	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
L11	1	1	NA	1	0	1	1	1	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
L35	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L8	1	1	NA	1	0	1	1	1	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
L1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
L36	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA
L32	1	1	1	1	1	0	0	NA	NA	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L10	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
L9	1	1	1	NA	1	0	0	1	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0
L4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0
L2	1	1	1	1	0	0	0	0	1	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0
L33	1	1	1	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L25	1	1	1	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L18	1	NA	1	1	0	0	0	0	0	NA	1	0	NA	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0
L15	1	1	1	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L7	1	1	NA	1	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0
L5	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L3	NA	1	NA	1	1	NA	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	NA	0	NA	0	NA	0	NA
L34	1	1	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L31	1	NA	1	0	0	0	0	0	0	NA	1	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L30	1	NA	NA	NA	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0
L26	NA	NA	1	NA	0	1	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0
L24	0	0	0	0	1	1	NA	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0
L21	1	1	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L17	NA	1	NA	1	0	1	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L16	1	1	1	NA	NA	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L13	1	1	1	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
L28	NA	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L12	NA	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0
L27	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
