	LIKE	HEAR	SEE	KNOW	MEET	LOOK_AT	FEAR	WASH	TOUCH	THINK	SMELL	SIT_DOWN	SIT	SHOUT_AT	SHAVE	SEARCH_FOR	PEEL	LIVE	LEAVE	KILL	HUG	HIT	HELP	GRIND	GO	FRIGHTEN	FOLLOW	FILL	EAT	DRESS	DIG	CUT	COVER	COOK	CLIMB	BUILD	BREAK	BEAT
L31	0	1	0	1	1	1	0	0	NA	0	NA	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3	1	1	1	1	0	0	0	0	NA	0	NA	NA	NA	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	NA	0	NA	NA	0	NA
L20	1	1	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0
L24	0	1	1	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	NA	0	0	0	0
L18	0	0	1	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0
L15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	NA	0	0	NA	0	0
L12	1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0
L11	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0
L36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA
L35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L34	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0
L33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L32	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L30	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
